package,old,new,delta
optedr,2.0.0,2.2.0,*
base64enc,0.1-3,0.1-3,
bslib,0.9.0,0.9.0,
cachem,1.1.0,1.1.0,
cli,3.6.3,3.6.3,
colorspace,2.1-1,2.1-1,
commonmark,1.9.2,1.9.2,
crayon,1.5.3,1.5.3,
digest,0.6.37,0.6.37,
dplyr,1.1.4,1.1.4,
fansi,1.0.6,1.0.6,
farver,2.1.2,2.1.2,
fastmap,1.2.0,1.2.0,
fontawesome,0.5.3,0.5.3,
fs,1.6.5,1.6.5,
generics,0.1.3,0.1.3,
ggplot2,3.5.1,3.5.1,
glue,1.8.0,1.8.0,
gtable,0.3.6,0.3.6,
htmltools,0.5.8.1,0.5.8.1,
httpuv,1.6.15,1.6.15,
isoband,0.2.7,0.2.7,
jquerylib,0.1.4,0.1.4,
jsonlite,1.8.9,1.8.9,
labeling,0.4.3,0.4.3,
later,1.4.1,1.4.1,
lifecycle,1.0.4,1.0.4,
magrittr,2.0.3,2.0.3,
memoise,2.0.1,2.0.1,
mime,0.12,0.12,
munsell,0.5.1,0.5.1,
nleqslv,3.3.5,3.3.5,
pillar,1.10.1,1.10.1,
pkgconfig,2.0.3,2.0.3,
promises,1.3.2,1.3.2,
purrr,1.0.4,1.0.4,
R6,2.5.1,2.5.1,
rappdirs,0.3.3,0.3.3,
RColorBrewer,1.1-3,1.1-3,
Rcpp,1.0.14,1.0.14,
rlang,1.1.5,1.1.5,
sass,0.4.9,0.4.9,
scales,1.3.0,1.3.0,
shiny,1.10.0,1.10.0,
sourcetools,0.1.7-1,0.1.7-1,
tibble,3.2.1,3.2.1,
tidyselect,1.2.1,1.2.1,
utf8,1.2.4,1.2.4,
vctrs,0.6.5,0.6.5,
viridisLite,0.4.2,0.4.2,
withr,3.0.2,3.0.2,
xtable,1.8-4,1.8-4,
